,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
24754,10,LAGOS,10101,PUERTO MONTT,2,0,5,1,18290387,1,17,10,"6,9",100,I90S1C92J1V2,1,2021,Universidades Privadas CRUCH,both
18046,8,BBIO,8101,CONCEPCIÓN,2,0,5,3,23061108,2,17,8,7,95,I75S1C12J1V2,2,2021,Universidades Estatales CRUCH,both
12164,6,LGBO,6310,SANTA CRUZ,2,0,5,1,9597827,1,17,6,"6,9",90,I92S2C6J1V1,1,2021,Universidades Privadas CRUCH,both
30487,13,RM,13114,LAS CONDES,3,0,5,1,24684102,1,18,13,"6,4",100,I2S1C8J1V1,1,2021,Universidades Privadas,both
20610,9,ARAUC,9211,VICTORIA,1,0,5,1,9753196,1,17,9,"6,4",100,I94S1C190J1V1,1,2021,Universidades Privadas CRUCH,both
50112,6,LGBO,6108,MACHALÍ,2,0,5,3,10389876,1,17,6,"6,7",90,I45S2C38J1V1,1,2021,Universidades Privadas,both
5468,4,COQ,4204,SALAMANCA,2,0,5,3,9667515,2,17,4,7,100,I91S2C29J1V2,2,2021,Universidades Privadas CRUCH,both
31746,13,RM,13123,PROVIDENCIA,3,0,5,3,19326860,1,17,13,7,100,I34S1C85J1V4,1,2021,Universidades Privadas CRUCH,both
21349,9,ARAUC,9101,TEMUCO,2,0,7,1,23142563,2,17,9,"5,9",99,I31S1C2J1V3,2,2021,Universidades Privadas,both
65508,13,RM,13605,PEÑAFLOR,2,0,5,3,14883033,2,17,13,6,100,I111S15C86J1V1,2,2021,Institutos Profesionales,both
66265,13,RM,13201,PUENTE ALTO,1,0,5,3,14565083,2,17,13,"6,9",87,I72S1C46J1V1,2,2021,Universidades Estatales CRUCH,both
42070,15,AYP,15101,ARICA,2,0,5,3,20102106,2,17,15,"6,2",100,I80S1C128J1V1,2,2021,Universidades Estatales CRUCH,both
11098,6,LGBO,6106,GRANEROS,1,0,7,3,22357860,2,17,6,6,100,I430S16C45J1V1,2,2021,Centros de Formación Técnica,both
39214,13,RM,13302,LAMPA,1,0,5,3,13108010,2,17,13,"6,6",100,I86S5C400J1V1,2,2021,Universidades Privadas CRUCH,both
50639,6,LGBO,6303,CHIMBARONGO,2,0,7,3,21062657,2,17,6,"6,4",99,I92S2C133J1V1,2,2021,Universidades Privadas CRUCH,both
13790,7,MAULE,7401,LINARES,1,0,5,3,20371142,2,17,7,"6,2",100,I22S1C4J1V2,2,2021,Universidades Privadas,both
48050,4,COQ,4101,LA SERENA,2,0,7,3,23104888,2,17,4,"6,7",100,I430S27C280J1V1,2,2021,Centros de Formación Técnica,both
39106,13,RM,13301,COLINA,1,0,7,3,11126200,1,19,13,"5,8",100,I143S27C34J2V1,1,2021,Institutos Profesionales,both
45352,1,TPCA,1107,ALTO HOSPICIO,2,0,5,3,17199604,2,18,1,7,100,I87S1C189J1V1,2,2021,Universidades Privadas CRUCH,both
58594,13,RM,13201,PUENTE ALTO,2,0,7,3,15771842,2,17,13,"6,9",85,I13S1C38J1V1,2,2021,Universidades Privadas,both
29386,13,RM,13127,RECOLETA,4,0,7,1,10152656,1,17,13,"5,1",90,I430S10C325J2V1,1,2021,Centros de Formación Técnica,both
10767,6,LGBO,6101,RANCAGUA,1,0,7,3,25132892,2,18,6,"6,4",95,I895S1C24J1V1,2,2021,Universidades Estatales CRUCH,both
32820,13,RM,13120,ÑUÑOA,4,0,7,1,21292057,2,18,13,"6,3",96,I218S1C10J1V2,2,2021,Centros de Formación Técnica,both
49880,5,VALPO,5201,ISLA DE PASCUA,1,0,7,1,13458963,1,17,5,"6,1",100,I116S34C16J1V1,1,2021,Institutos Profesionales,both
32761,13,RM,13113,LA REINA,3,0,5,1,20532680,1,17,13,"6,3",100,I23S2C352J1V1,1,2021,Universidades Privadas,both
49957,5,VALPO,5501,QUILLOTA,2,0,5,3,11735262,1,17,5,"6,6",85,I20S3C22J1V1,1,2021,Universidades Privadas,both
17068,8,BBIO,8304,LAJA,1,0,5,3,9652381,2,17,8,"6,8",100,I87S1C240J1V1,2,2021,Universidades Privadas CRUCH,both
51513,7,MAULE,7101,TALCA,3,0,5,3,18068058,2,17,7,"6,7",99,I31S2C12J1V1,2,2021,Universidades Privadas,both
67038,2,ANTOF,2101,ANTOFAGASTA,1,0,5,3,12711726,1,18,2,"5,1",85,I73S2C40J1V1,1,2021,Universidades Estatales CRUCH,both
61511,13,RM,13601,TALAGANTE,3,0,5,3,11701265,1,18,13,"6,8",100,I34S1C85J1V4,1,2021,Universidades Privadas CRUCH,both
20413,9,ARAUC,9202,COLLIPULLI,1,0,7,1,13453518,1,17,9,"5,5",100,I430S28C78J1V1,1,2021,Centros de Formación Técnica,both
22633,9,ARAUC,9114,PITRUFQUÉN,2,0,7,3,10466712,2,17,9,"6,1",100,I116S17C141J2V1,2,2021,Institutos Profesionales,both
59039,13,RM,13201,PUENTE ALTO,3,0,5,3,14556581,2,17,13,7,100,I86S5C202J1V1,2,2021,Universidades Privadas CRUCH,both
21818,9,ARAUC,9101,TEMUCO,2,0,5,3,13070697,2,18,9,"5,3",100,I13S10C1J1V1,2,2021,Universidades Privadas,both
9548,5,VALPO,5804,VILLA ALEMANA,1,0,5,3,10236477,1,17,5,"6,5",85,I72S1C149J1V1,1,2021,Universidades Estatales CRUCH,both
